id,City,State,Low estimate,Best Guess,High estimate,Source1
208,"Green Bay, WI",WI,200,200,200,http://www.greenbaypressgazette.com/story/news/2017/01/21/green-bay-womens-march/96782676/?hootPostID=6979db0a7bd407815831ee0e0e039277
209,"Green Valley, AZ",AZ,350,451,575,Green Valley News
210,"Greenfield, MA",MA,2000,2000,2000,"http://greenfieldrecorder.ma.newsmemory.com/ Monday January 23, 2017"
211,"Greensboro, NC",NC,3000,4350,6000,http://myfox8.com/2017/01/21/2800-people-attend-womens-march-in-greensboro/
212,"Greensburg, IN",IN,45,55,65,Eyewitness estimate
213,"Greenville, SC",SC,2000,2000,2000,http://www.greenvilleonline.com/story/news/2017/01/21/womens-rally-fills-falls-park-amid-worldwide-protests/96889616/
214,"Greenville, NC",NC,100,150,200,http://www.wcti12.com/news/womens-marches-held-in-eastern-north-carolina/284801734
215,"Gross Pointe, MI",MI,1143,1214,1300,FB
216,"Gualala, CA",CA,203,252,300,onsite source via google form
217,"Guilford, CT",CT,32,32,32,FB photo w headcount per google form
218,"Gulfport, MS",MS,300,484,709,http://www.sunherald.com/news/local/counties/harrison-county/article127994339.html
219,"Gustavus, AK",AK,105,105,105,FB
220,"Hagatna, Guam",GM,150,200,250,http://www.guampdn.com/picture-gallery/news/2017/01/20/fanohge-famalaoan-guahan-march/96822624/
221,"Haines, AK",AK,150,160,170,onsite source via FB
222,"Halfway, OR",OR,31,31,31,onsite sources via google form w photos showing headcount
223,"Hana, HI",HI,30,30,30,FB
224,"Haines, AK",,150,160,170,Info from onsite source
225,"Harrisburg, PA",PA,900,994,1109,http://www.pennlive.com/news/2017/01/harrisburg_version_of_womens_m.html#incart_river_mobile_home_pop
226,"Harrisville, MI",MI,5,5,5,https://twitter.com/nowosadwoman/status/823223865086267392
227,"Hartford, CT",CT,10000,10000,10000,http://www.courant.com/news/connecticut/hc-hartford-inauguration-rally-20170121-story.html
228,"Harwich, MA",MA,200,200,200,http://www.capecod.com/cape-wide-news/solidarity-stand-out-in-harwich-saturday/
229,"Helena, AR",AR,2,2,2,FB
230,"Helena, MT",MT,10000,10000,10000,http://helenair.com/news/local/montana-women-s-march-draws-an-estimated/article_d04ff8b8-4f77-5e8f-b683-2941b39d4276.html
231,"Hemet, CA",CA,98,98,98,onsite headcount via sign-in sheets
232,"Hilldale, UT",UT,1,1,1,FB
233,"Hillsborough, NC",NC,200,1010,2000,http://www.heraldsun.com/news/sister-solidarity-hundreds-in-hillsborough-join-national-women-s-protest/article_441458b2-e02e-11e6-a09b-b303523aa1e6.html
234,"Hilo, HI",HI,1500,1815,2200,http://www.hawaiitribune-herald.com/news/local-news/heeding-rallying-call-more-1000-attend-hilo-women-s-march
235,"Holden Village, WA",WA,47,50,52,"Eyewitness on site, photographic evidence"
236,"Homer, AK",AK,900,900,900,FB
237,Honolulu (Oahu) HI,HI,3000,5250,8000,http://www.staradvertiser.com/2017/01/21/breaking-news/thousands-march-around-state-capitol-in-show-of-solidarity/
238,"Hood River, OR",OR,200,200,200,http://m.hoodrivernews.com/news/2017/jan/25/womens-stand-brings-national-march-hr/
239,Hospital Ward,CA,5,5,5,http://www.elle.com/culture/career-politics/news/a42373/the-cancer-patients-who-held-a-womens-march-in-a-hospital/
240,"Houghton, MI",MI,500,500,500,http://www.uppermichiganssource.com/content/news/Houghton-marchers-for-womens-rights-411431685.html
241,"Houlton, ME",ME,45,48,50,FB
242,"Houston, TX",TX,20000,21434,23187,http://www.khou.com/mb/news/20k-attend-womens-march-in-downtown-houston/389702891
243,"Howard County, MD",MD,100,113,125,"FB group marked as ""attended"""
244,"Hudson, NY",NY,2000,2450,3000,http://m.registerstar.com/news/article_d498a278-e054-11e6-a01b-dfe6701814de.html?mode=jqm
245,"Huntsville, AL",AL,80,95,110,onsite headcount per google form
246,"Huron, SD",SD,11,12,13,Eyewitness on site
247,"Idaho Falls, ID",ID,500,500,500,http://www.eastidahonews.com/2017/01/500-people-attend-womens-march-idaho-falls/
248,"Indiana, PA",PA,100,150,200,http://wdadradio.com/downtown-indiana-site-of-march-connected-to-dc-march-for-women/
249,"Indianapolis, IN",IN,4000,6700,10000,https://twitter.com/rafkhach/status/822930702643720193
250,"Inverness, CA",CA,5,5,5,FB
251,"Iowa City, IA",IA,1000,1000,1000,http://www.desmoinesregister.com/story/news/2017/01/21/nearly-1000-people-join-womens-march-iowa-city/96889784/
252,"Isla Vista, CA",CA,500,500,500,https://www.edhat.com/site/tidbit.cfm?nid=180466
253,"Issaquah, WA",WA,56,56,56,FB
254,"Ithaca, NY",NY,8000,8900,10000,http://cornellsun.com/2017/01/21/womens-march-on-ithaca-draws-more-than-8000-shattering-expectations/
255,"Jackson, NH",NH,300,300,300,https://twitter.com/ConwayDailySun/status/822886300013490180
256,"Jackson, MS",MS,750,2663,5000,https://twitter.com/FBrownWilliams/status/823037789113565184
257,"Jackson Hole, WY",WY,1000,1000,1000,http://planetjh.com/2017/01/21/in-pictures-the-womens-march-on-jackson/
258,"Jacksonville, FL",FL,2000,2450,3000,http://jacksonville.com/metro/2017-01-09/local-marchers-show-solidarity-national-women-s-protest
259,"Jefferson City, MO",MO,6,7,7,Eyewitness report
260,"Jerome, AZ",AZ,85,93,100,onsite headcount via google form
261,"Jonesborough, TN",TN,1000,1000,1000,http://www.johnsoncitypress.com/gallery/Women-s-March-in-Jonesborough-GALLERY
262,"Joseph, OR",OR,310,310,310,FB
263,"June Lake, CA",CA,21,21,21,FB photo headcount
264,"Juneau, AK",AK,1000,1000,1000,http://juneauempire.com/slideshow/news/2017-01-21/slideshow-juneau-marches-force#slide-1
265,"Kahului, Maui, HI",HI,1500,3075,5000,http://mauitime.com/news/politics/photos-of-todays-womens-march-on-maui/
266,"Kalamazoo, MI",MI,1000,1450,2000,http://www.mlive.com/news/kalamazoo/index.ssf/2017/01/more_than_1000_people_march_in.html
267,"Kanab, UT",UT,175,175,175,FB
268,"Kansas City, MO",MO,5000,7250,10000,http://www.kansascity.com/news/local/article127922349.html
269,Kaunakakai (Molokai),HI,200,200,200,eyewitness account
270,"Kawaihae, HI",HI,50,50,50,http://bigislandnow.com/2017/01/21/na-wahine-for-womens-rights-march-on-the-water/
271,"Keene, NH",NH,245,405,600,FB
272,"Kennebunk, ME",ME,1000,1000,1000,https://twitter.com/Kennebunkpolice/status/823692338535034882
273,"Kent, CT",CT,180,190,200,https://twitter.com/jahansell/status/823009339174780928
274,"Kent, OH",OH,100,100,100,https://twitter.com/KabirBhatiaTime/status/822899486171234305
275,"Ketchikan, AK",AK,150,175,200,https://twitter.com/polarscribe/status/822999640291184640
276,"Ketchum, ID",ID,1000,1068,1150,http://magicvalley.com/news/local/attend-ketchum-women-s-march/article_ebe2d387-516e-5426-9e6f-93a45933ee16.html
277,"Key West, FL",FL,3000,3225,3500,http://www.flkeysnews.com/news/local/article128061044.html
278,"Killington, VT",VT,51,82,112,onsite eyewitness did headcount per google form
279,"King's Beach, CA",CA,500,635,800,FB
280,"Kingston, WA",WA,60,60,60,http://www.kitsapdailynews.com/news/group-engages-in-civil-informationing-in-support-of-womens-march/
281,"Klamath Falls, Oregon",OR,200,250,300,http://www.heraldandnews.com/news/local_news/local-march-mirrors-national-event/article_4a28f34e-5f50-5ff8-88cf-1767025b992e.html
282,"Knoxville, TN",TN,2000,3350,5000,FB
283,"Kodiak, AK",AK,335,364,400,onsite eyewitness did signature count for 335 per google form; many did not sign in
284,"Kona, HI",HI,3000,3225,3500,Big Island Video News
285,"Kotzebue, AK",AK,35,36,36,FB photo w headcount per google form
286,"La Crosse, WI",WI,76,113,150,FB group
287,"La Grande, OR",OR,104,177,250,FB group
288,"Lafayette, CO",CO,66,89,112,FB group
289,"Lafayette, IN",IN,800,890,1000,http://www.jconline.com/story/news/2017/01/21/lafayette-womens-march-turns-out-800/96790444/
290,"Laguna Beach, CA",CA,3500,3725,4000,FB
291,"Lake Havasu City, AZ",AZ,30,35,40,http://www.havasunews.com/news/women-s-march-included-lake-havasu-city/article_03f76f44-e1be-11e6-a12a-63c8637e104a.html
292,"Lakeside, OH",OH,300,300,300,http://www.sanduskyregister.com/story/201701210015
293,"Lakeville, CT",CT,85,93,100,eyewitness
294,"Lamoni, IA",IA,18,24,30,FB
295,"Lancaster, NH",NH,400,400,400,http://www.nh1.com/news/larger-than-predicted-crowd-turns-up-for-lancaster-women-s-march/
296,"Lancaster, PA",PA,200,1010,2000,http://lancasteronline.com/news/local/hundreds-rally-in-penn-square-for-women-s-rights/article_5dcec858-dfe5-11e6-b8fe-4368bfd596b1.html
297,"Lander, WY",WY,350,418,500,https://twitter.com/thecarie/status/823042373030547456
298,"Langley, WA",WA,1200,1245,1300,http://www.southwhidbeyrecord.com/news/over-1000-march-in-langley-protest-participation-exceeded-citys-population/
299,"Lansdale, PA",PA,3,3,3,FB
300,"Lansing, MI",MI,8000,17900,30000,http://www.freep.com/story/news/local/michigan/2017/01/21/women-march-washington-lansing-michigan/96898240/
301,"Las Cruces, NM",NM,200,785,1500,http://www.kvia.com/news/top-stories/hundreds-gather-in-downtown-el-paso-for-womens-march/284730114
302,"Las Vegas, NV",NV,4000,8950,15000,http://www.lasvegasnow.com/news/photos-huge-turnout-at-local-womens-march-on-washington/643795345
303,"Las Vegas, NM",NM,50,50,50,FB
304,"Leonia, NJ",NJ,100,190,280,http://www.northjersey.com/story/news/local/2017/01/21/local-womens-marches-draw-far-larger-crowds-than-expected/96778300/
305,"Lexington, KY",KY,5000,7250,10000,https://twitter.com/lexkypolice/status/822907799084683264
306,"Lewes, DE",DE,250,250,250,http://www.capegazette.com/article/peaceful-march-along-lewes-beach-takes-stand-women%E2%80%99s-rights/124227
307,"Lewis, NY",NY,147,227,325,FB
308,"Lewisburg, PA",PA,150,175,200,FB (people on site)
309,Lihue (Kauai) HI,HI,1500,1500,1500,http://thegardenisland.com/news/local/attend-sign-waving-event-support-women-s-march-on-washington/article_d7188a0b-7d09-5afe-9c33-0f2e80244eda.html
310,"Lilly, PA",PA,4,4,4,FB
311,"Lincoln, NE",NE,2000,2900,4000,http://www.omaha.com/news/politics/at-least-people-fill-the-streets-in-women-s-march/article_5de6469e-58ff-5e39-b4de-290a99e01a26.html
312,"Little Rock, AR",AR,7000,7000,7000,http://www.arkansasonline.com/news/2017/jan/21/hundreds-march-street-state-capitol-downtown-littl/?news-arkansas
313,"Logan, UT",UT,50,75,100,http://news.hjnews.com/allaccess/a-human-statement-valley-women-join-d-c-march-small/article_76777608-33e0-5853-8fe7-a97309cfe441.html
314,"Lompoc, CA",CA,100,100,100,http://www.ksby.com/story/34315680/womens-march-on-lompoc
315,"Longview, WA",WA,200,200,200,http://tdn.com/news/local/longview-women-s-march-draws-around-people/article_824ee3c7-2905-5688-a146-148ce860874e.html
316,"Longville, MN",MN,67,67,67,https://twitter.com/curatress/status/822996713979912192
317,"Los Angeles, CA",CA,200000,447500,750000,http://www.latimes.com/local/lanow/la-me-womens-march-los-angeles-20170121-story.html
318,"Louisville, KY",KY,5000,5000,5000,http://www.courier-journal.com/story/news/politics/2017/01/21/local-activists-call-social-justice/96676446/
319,"Loup City, NE",NE,100,125,150,http://www.nbcneb.com/content/news/March-for-equality-takes-place-in-central-Nebraska-411432745.html
320,"Lovell, ME",ME,2,2,2,Eyewitness on site
321,Lovettsville,VA,5,5,5,eyewitness; photo
322,"Loup City, NE",,150,150,150,Onsite source via FB
323,"Lubbock, TX",TX,350,643,1000,http://lubbockonline.com/local/2017-01-21/hundreds-protest-lubbock-women-s-march
324,"Lubec, ME",ME,95,95,95,FB
325,"Lyons, CO",CO,25,28,30,Eyewitness on site
326,"Mt. Shasta, CA",CA,400,400,400,http://www.mtshastanews.com/photogallery/CA/20170121/PHOTOGALLERY/121009998/PH/1
327,"Mt. Laurel, NJ",NJ,20,20,20,https://twitter.com/KaraLogan21/status/823293332520632320
328,"Madison, WI",WI,75000,86250,100000,http://www.channel3000.com/news/mpd/284567959
329,"Manchester, VT",VT,50,50,50,"http://www.benningtonbanner.com/stories/rally-embraces-tolerance-as-trump-takes-office,495830?"
330,"Mankato, MN",MN,50,95,140,http://www.mprnews.org/story/2017/01/21/photos-around-minnesota-women-and-men-march-for-womens-rights
331,"Marfa, TX",TX,76,76,76,Twitter
332,"Martha's Vineyard, MA",MA,100,100,100,http://www.mvtimes.com/2017/01/21/photos-womens-march-five-corners/
333,"Marquette, MI",MI,200,470,800,http://www.miningjournal.net/uncategorized/2017/01/hundreds-rally-for-womens-march-in-marquette/
334,"Marshall, MN",MN,2,2,2,Eyewitness on site
335,"Maryville, IL",IL,40,45,50,https://twitter.com/Pretty_pittie/status/823328254014668800
336,"McCall, ID",ID,75,113,150,FB
337,"McConnelsville, OH",OH,5,17,29,https://www.facebook.com/events/762841653864304/
338,"McMinnville, OR",OR,700,1015,1400,FB
339,"Melbourne/Brevard County, FL",FL,500,500,500,FB
340,"Memphis, TN",TN,3000,5700,9000,https://t.co/unaoHXpGUT
341,"Menomonie, WI",WI,200,313,450,https://twitter.com/trayf/status/823044387668193280
342,"Mentone, AL",AL,50,60,70,FB
343,"Miami, FL",FL,10000,16750,25000,http://www.miamiherald.com/news/local/community/miami-dade/article127925999.html
344,"Midland, MI",MI,400,400,400,http://www.mlive.com/news/saginaw/index.ssf/2017/01/midland_march.html
345,"Midland, TX",TX,50,75,100,http://www.cbs7.com/content/news/Womans-March-comes-to-Midland--411432415.html
346,Midway Atoll,--,6,6,6,Eyewitness on site
347,"Miles City, MT",MT,500,500,500,Eyewitness estimate
348,"Milford, CT",CT,120,120,120,http://www.nhregister.com/20170120/milford-protest-as-trump-inaugurated-draws-attention-to-environment-education-and-more
349,"Milhelm, PA",PA,50,50,50,FB
350,"Milwaukee, WI",WI,1000,1000,1000,http://www.cbs58.com/story/34314179/hundreds-hit-the-streets-of-milwaukee-for-womens-march-on-washington
351,"Minocqua, WI",WI,300,300,300,FB
352,"Minturn, CO",CO,6,6,6,FB
353,"Missoula, MT",MT,80,100,120,http://www.kpax.com/story/34315123/womens-march-takes-to-montanas-capitol-with-huge-crowd
354,"Mitchell, IN",IN,18,19,20,FB
355,"Moab, UT",UT,200,200,200,https://twitter.com/mmrj_tweet/status/822963369577615360
356,"Mobile, AL",AL,900,945,1000,FB (report from on site)
357,"Modesto, CA",CA,900,945,1000,http://www.modbee.com/news/article128034159.html
358,"Mooresville, NC",NC,70,70,70,http://www.mooresvilletribune.com/news/marching-to-make-a-point/article_f3388eee-e02e-11e6-a716-fb8d63c948f4.html
359,Monhegan Island,ME,22,22,22,email
360,"Montpelier, VT",VT,15000,17250,20000,http://www.burlingtonfreepress.com/story/news/2017/01/21/montpelier-womens-march-draws-7000/96888920/
361,"Mora, NM",NM,1,1,1,FB
362,"Morganton, NC",NC,500,545,600,http://www.morganton.com/townnews/politics/a-call-for-equality-demonstrators-converge-on-downtown-in-support/article_250317d0-e018-11e6-97d8-5fd6a7377b4b.html#utm_source=morganton.com&utm_campaign=%2Fnewsletter%2Fbreaking%2F&utm_medium=email&utm_content=image
363,"Morris, MN",MN,250,250,250,http://www.morrissuntribune.com/news/local/4203507-250-participate-womens-march-morris-video
364,"Moscow, ID",ID,2500,2500,2500,http://dnews.com/local/women-on-the-march/article_61739ce0-0c64-57cc-baa7-4e0492c47b98.html
365,"Mount Vernon, OH",OH,20,25,30,via email
366,"Mount Vernon, WA",WA,200,920,1800,https://www.goskagit.com/news/young-and-old-take-on-downtown-mount-vernon-for-women/article_d216fe5e-24a5-5606-9e21-706c1db3ff2f.html/#utm_source=goskagit.com&utm_campaign=related-by-section&utm_medium=direct&utm_term=young%20and%20old%20take%20on%20downtown%20mount%20vernon%20for%20women%27s%20march
367,"Murray, KY",KY,700,700,700,http://wkms.org/post/hundreds-join-march-equality-and-social-justice-murray
368,"Nacogdoches, TX",TX,200,250,300,FB
369,"Nantucket, MA",MA,400,400,400,http://www.ack.net/news/20170121/your-nantucket-womens-march-photos-wanted
370,"Napa, CA",CA,3000,3000,3000,http://napavalleyregister.com/news/local/napa-women-s-march-spreads-message-of-love-hope-solidarity/article_53aae273-59e4-5b49-ab51-3e4a13a6e729.html
371,"Naples, FL",FL,2500,3625,5000,http://www.nbc-2.com/story/34313013/womens-march-on-dc-echoed-in-naples
372,"Nashville, TN",TN,15000,17250,20000,https://twitter.com/Killingcrawdads/status/822924062213210112
373,"Nebraska City, NE",NE,3,3,3,Eyewitness on site
374,"Nederland, CO",CO,20,28,35,Eyewitness on site
375,"Nevada City, CA",CA,100,100,100,http://www.theunion.com/news/local-news/group-gathering-in-nevada-city-in-support-of-marchers-worldwide/
376,"New Bern, NC",NC,300,480,700,https://twitter.com/UncleIllya/status/823023824253964288
377,"New Haven, CT",CT,200,200,200,http://www.newhavenindependent.org/index.php/archives/entry/local_march/
378,"New Orleans, LA",LA,7000,10600,15000,http://www.theadvocate.com/new_orleans/news/article_b6a63598-e002-11e6-9066-575bd82cb3da.html
379,"New Smyrna Beach, FL",FL,1000,1000,1000,http://www.news-journalonline.com/news/20170121/signs-of-solidarity-women-take-part-locally-in-two-sister-marches
380,"New York, NY",NY,400000,445000,500000,https://twitter.com/amNewYork/status/822978182315999233
381,"Newark, DE",DE,1000,1090,1200,http://www.delawareonline.com/story/news/local/2017/01/21/trumps-first-day-people-march-newark/96836242/
382,"Newark, NJ",NJ,1000,1000,1000,FB
383,"Newport, OR",OR,1500,1500,1500,http://www.newportnewstimes.com/v2_news_articles.php?heading=0&story_id=54234&page=86
384,"Nome, AK",AK,80,90,100,FB
385,"Norfolk, VA",VA,2000,2360,2800,http://pilotonline.com/news/local/sister-marches-draw-thousands-to-downtown-norfolk-to-support-women/article_491f897c-2be6-5968-9f8a-2df7250a0184.html
386,"Northampton, MA",MA,2500,2725,3000,https://www.facebook.com/NorthamptonMAPD/posts/774633669358519:0
387,"Oak Ridge, TN",TN,450,495,550,onsite eyewitness (estimated based on # buttons/flyers distributed)
388,"Oakhurst, CA",CA,200,201,201,http://www.fresnobee.com/news/local/article128014199.html
389,"Oakland, CA",CA,100000,100000,100000,http://patch.com/california/alameda/100-000-peaceful-demonstrators-join-oakland-womens-march
390,"Ocala, FL",FL,100,200,300,https://www.youtube.com/watch?v=Yu7OYoX1Xqs
391,"Ocean City, MD",MD,200,380,600,http://www.wmdt.com/news/maryland/hundreds-show-their-support-in-ocs-womens-march/284828523
392,"Ocean Shores, WA",WA,150,175,200,http://www.northcoastnews.com/news/womens-march-draws-diverse-crowd-in-ocean-shores/
393,"Ocracoke, NC",NC,108,114,120,https://twitter.com/jcgreenfield/status/823321395904004096
394,"Ogden, UT",UT,200,250,300,http://www.standard.net/Community/2017/01/21/Hundreds-brave-snow-for-Northern-Utah-Unity-Rally-in-Ogden.html
395,"Oklahoma City, OK",OK,7000,9250,12000,https://newsok.com/thousands-gather-saturday-at-oklahoma-capitol-for-womens-march/article/5535205
396,"Old Saybrook, CT",CT,800,890,1000,onsite eyewitness via google form
397,"Olympia, WA",WA,10000,10000,10000,http://www.theolympian.com/news/local/article127924384.html
398,"Omaha, NE",NE,12000,14700,18000,http://www.omaha.com/news/politics/women-s-march-fills-omaha-streets-to-send-a-message/article_5de6469e-58ff-5e39-b4de-290a99e01a26.html
399,"Oneonta, NY",NY,500,500,500,http://www.allotsego.com/women-allies-march-across-otsego-county/
400,"Onley, VA",VA,50,50,50,http://www.ask4direct.com/InfoRead.asp?id=WESR&InfoID=1028534
401,"Ontario, CA",CA,200,200,200,http://www.pe.com/articles/san-823719-bernardino-participated.html
402,"Orcas Island, WA",WA,200,200,200,Eyewitness on site
403,"Orford, NH",NH,7,7,7,Eyewitness on site
404,"Orlando, FL",FL,3000,5250,8000,http://www.orlandosentinel.com/news/os-lake-eola-womens-march-20170121-story.html
405,"Owensboro, KY",KY,15,23,30,Eyewitness on site
406,"Oxford, MS",MS,450,450,450,http://thedmonline.com/hundreds-gather-oxfords-womens-march/
407,"Pacifica, CA",CA,1200,1200,1200,FB
408,"Palm Desert, CA",CA,1000,1000,1000,FB
409,"Palm Springs, CA",CA,200,250,300,onsite eyewitness via google form
410,"Palmdale, CA",CA,24,24,24,http://www.twcnews.com/ca/antelope-valley/news/2017/01/21/protesters-gather-in-antelope-valley-in-support-of-women-s-march-on-washington.html
411,"Palmer, AK",AK,377,657,1000,FB
412,"Paradox, NY",NY,3,3,3,Eyewitness on site
413,"Park City, UT",UT,5000,6350,8000,http://www.parkrecord.com/news/giant-sundance-crowd-marches-in-broad-rebuke-of-president-trump/?platform=hootsuite
414,"Panama City, FL",FL,500,500,500,http://www.newsherald.com/news/20170121/hundreds-gather-protest-at-panama-city-womens-march
415,"Paoli, IN",IN,67,67,67,verified through user photo
416,"Paonia, CO",CO,40,40,40,Eyewitness on site
417,"Pasadena, CA",CA,500,1040,1700,http://www.pasadenastarnews.com/general-news/20170121/womens-march-demonstrators-raise-their-voices-in-pasadena
418,"Pence, WI",WI,1,1,1,FB
419,"Pendelton, OR",OR,425,526,650,http://www.eastoregonian.com/eo/local-news/20170121/protestors-pack-pendleton-for-womens-march
420,"Pensacola, FL",FL,2000,2000,2000,http://www.pnj.com/story/news/local/pensacola/downtown/2017/01/21/hundreds-brave-rain-join-pensacola-march-women/96795864/
421,"Pentwater, MI",MI,2,2,2,Eyewitness on site
422,"Peoria, IL",IL,1500,1725,2000,http://www.centralillinoisproud.com/news/local-news/peoria-rally-in-support-of-womens-march-on-washington/643865167
423,"Pequannock Township, NJ",NJ,800,890,1000,http://www.northjersey.com/story/news/2017/01/21/crowds-gathering-womens-march-protests/96778388/
424,"Peterborough, NH",NH,50,55,60,Eyewitness on site
425,"Petersburg, AK",AK,50,65,80,Eyewitness on site
426,"Philadelphia, PA",PA,50000,50000,50000,http://www.philly.com/philly/blogs/real-time/Womens-Marches-in-Washington-DC-and-Philadelphia-Live-updates-Jan-21-2017.html
427,"Phoenix, AZ",AZ,20000,22250,25000,http://www.azcentral.com/story/news/local/phoenix/2017/01/21/phoenix-womens-march-sister-washington-capitol/96849890/
428,"Pierre, SD",SD,130,133,135,onsite eyewitness did a headcount via google form
